,s,d,count,percent
514,14-15,100-110,0.0,0.0
515,14-15,110-120,0.0,0.0
516,14-15,120-130,0.0,0.0
517,14-15,130-140,0.0,0.0
518,14-15,140-150,0.0,0.0
519,14-15,150-160,0.0,0.0
520,14-15,160-170,0.0,0.0
521,14-15,170-180,0.0,0.0
522,14-15,180-190,0.0,0.0
523,14-15,190-200,1.0,0.00034328870580157915
524,14-15,200-210,0.0,0.0
525,14-15,210-220,2.0,0.0006865774116031583
526,14-15,220-230,0.0,0.0
527,14-15,230-240,0.0,0.0
528,14-15,240-250,0.0,0.0
529,14-15,250-260,0.0,0.0
530,14-15,260-270,0.0,0.0
531,14-15,270-280,0.0,0.0
532,14-15,280-290,1.0,0.00034328870580157915
533,14-15,290-300,0.0,0.0
534,14-15,300-310,0.0,0.0
535,14-15,310-320,0.0,0.0
536,14-15,320-330,1.0,0.00034328870580157915
537,14-15,330-340,0.0,0.0
538,14-15,340-350,0.0,0.0
539,14-15,350-360,0.0,0.0
540,15-16,0-10,0.0,0.0
541,15-16,10-20,0.0,0.0
542,15-16,20-30,0.0,0.0
543,15-16,30-40,0.0,0.0
544,15-16,40-50,0.0,0.0
545,15-16,50-60,0.0,0.0
546,15-16,60-70,0.0,0.0
547,15-16,70-80,0.0,0.0
548,15-16,80-90,0.0,0.0
549,15-16,90-100,0.0,0.0
550,15-16,100-110,0.0,0.0
551,15-16,110-120,0.0,0.0
552,15-16,120-130,0.0,0.0
553,15-16,130-140,0.0,0.0
554,15-16,140-150,0.0,0.0
555,15-16,150-160,0.0,0.0
556,15-16,160-170,0.0,0.0
557,15-16,170-180,0.0,0.0
558,15-16,180-190,0.0,0.0
559,15-16,190-200,0.0,0.0
560,15-16,200-210,0.0,0.0
561,15-16,210-220,3.0,0.0010298661174047373
562,15-16,220-230,0.0,0.0
563,15-16,230-240,0.0,0.0
564,15-16,240-250,0.0,0.0
565,15-16,250-260,0.0,0.0
566,15-16,260-270,1.0,0.00034328870580157915
567,15-16,270-280,0.0,0.0
568,15-16,280-290,0.0,0.0
569,15-16,290-300,0.0,0.0
570,15-16,300-310,0.0,0.0
571,15-16,310-320,0.0,0.0
572,15-16,320-330,0.0,0.0
573,15-16,330-340,0.0,0.0
574,15-16,340-350,0.0,0.0
575,15-16,350-360,0.0,0.0
