Variable,date,Hour,Value
speed,13-02-2015,20:00,9.5
direction,13-02-2015,20:00,280
speed,13-02-2015,23:00,2
direction,13-02-2015,23:00,80
speed,14-02-2015,02:00,2
direction,14-02-2015,02:00,100
speed,14-02-2015,05:00,1
direction,14-02-2015,05:00,110
speed,14-02-2015,08:00,3
direction,14-02-2015,08:00,130
speed,14-02-2015,11:00,5
direction,14-02-2015,11:00,150
speed,14-02-2015,14:00,6.5
direction,14-02-2015,14:00,250
speed,14-02-2015,17:00,3.5
direction,14-02-2015,17:00,310
speed,14-02-2015,20:00,1.5
direction,14-02-2015,20:00,110
speed,14-02-2015,23:00,2.5
direction,14-02-2015,23:00,110
speed,15-02-2015,02:00,3.5
direction,15-02-2015,02:00,120
speed,15-02-2015,05:00,3
direction,15-02-2015,05:00,100
speed,15-02-2015,08:00,3
direction,15-02-2015,08:00,90
speed,15-02-2015,11:00,2
direction,15-02-2015,11:00,50
speed,15-02-2015,14:00,2.5
direction,15-02-2015,14:00,30
speed,15-02-2015,17:00,3
direction,15-02-2015,17:00,150
speed,15-02-2015,20:00,3.5
direction,15-02-2015,20:00,150
speed,15-02-2015,23:00,3.5
direction,15-02-2015,23:00,150
speed,16-02-2015,02:00,4
direction,16-02-2015,02:00,150
speed,16-02-2015,05:00,5
direction,16-02-2015,05:00,150
speed,16-02-2015,08:00,4.5
direction,16-02-2015,08:00,150
speed,16-02-2015,11:00,5.5
direction,16-02-2015,11:00,180
speed,16-02-2015,14:00,4.5
direction,16-02-2015,14:00,200
speed,16-02-2015,17:00,2
direction,16-02-2015,17:00,220
speed,16-02-2015,20:00,2
direction,16-02-2015,20:00,100
speed,16-02-2015,23:00,2.5
direction,16-02-2015,23:00,30
speed,17-02-2015,02:00,2
direction,17-02-2015,02:00,130
speed,17-02-2015,05:00,3.5
direction,17-02-2015,05:00,150
speed,17-02-2015,08:00,3.5
direction,17-02-2015,08:00,150
speed,17-02-2015,11:00,4.5
direction,17-02-2015,11:00,160
speed,17-02-2015,14:00,5.5
direction,17-02-2015,14:00,270
speed,17-02-2015,17:00,3.5
direction,17-02-2015,17:00,240
speed,17-02-2015,20:00,5
direction,17-02-2015,20:00,280
speed,17-02-2015,23:00,2.5
direction,17-02-2015,23:00,150
speed,18-02-2015,02:00,3.5
direction,18-02-2015,02:00,150
speed,18-02-2015,05:00,2.5
direction,18-02-2015,05:00,120
speed,18-02-2015,08:00,5.5
direction,18-02-2015,08:00,260
speed,18-02-2015,11:00,8
direction,18-02-2015,11:00,300
speed,18-02-2015,14:00,8.5
direction,18-02-2015,14:00,280
speed,18-02-2015,17:00,11
direction,18-02-2015,17:00,270
speed,18-02-2015,20:00,12
direction,18-02-2015,20:00,270
speed,18-02-2015,23:00,8.5
direction,18-02-2015,23:00,260
speed,19-02-2015,02:00,12
direction,19-02-2015,02:00,270
speed,19-02-2015,05:00,5.5
direction,19-02-2015,05:00,240
speed,19-02-2015,08:00,10
direction,19-02-2015,08:00,250
speed,19-02-2015,11:00,9.5
direction,19-02-2015,11:00,270
speed,19-02-2015,14:00,13
direction,19-02-2015,14:00,260
speed,19-02-2015,17:00,13.5
direction,19-02-2015,17:00,260
speed,19-02-2015,20:00,12.5
direction,19-02-2015,20:00,270
speed,19-02-2015,23:00,10.5
direction,19-02-2015,23:00,220
speed,20-02-2015,02:00,8.5
direction,20-02-2015,02:00,310
speed,20-02-2015,05:00,10
direction,20-02-2015,05:00,320
speed,20-02-2015,08:00,8.5
direction,20-02-2015,08:00,340
speed,20-02-2015,11:00,6
direction,20-02-2015,11:00,330
speed,20-02-2015,14:00,11
direction,20-02-2015,14:00,280
speed,20-02-2015,17:00,12.5
direction,20-02-2015,17:00,300
speed,20-02-2015,20:00,11.5
direction,20-02-2015,20:00,330
speed,20-02-2015,23:00,2.5
direction,20-02-2015,23:00,110
speed,21-02-2015,02:00,1
direction,21-02-2015,02:00,70
speed,21-02-2015,05:00,12.5
direction,21-02-2015,05:00,350
speed,21-02-2015,08:00,13
direction,21-02-2015,08:00,350
speed,21-02-2015,11:00,7
direction,21-02-2015,11:00,280
speed,21-02-2015,14:00,3
direction,21-02-2015,14:00,350
speed,21-02-2015,17:00,4
direction,21-02-2015,17:00,330
speed,21-02-2015,20:00,1.5
direction,21-02-2015,20:00,60
speed,21-02-2015,23:00,3.5
direction,21-02-2015,23:00,150
speed,22-02-2015,02:00,2.5
direction,22-02-2015,02:00,110
speed,22-02-2015,05:00,2
direction,22-02-2015,05:00,100
speed,22-02-2015,08:00,2.5
direction,22-02-2015,08:00,100
speed,22-02-2015,11:00,3
direction,22-02-2015,11:00,270
speed,22-02-2015,14:00,2.5
